sourceFeatureType/attribute,XpathNew
BP_GemeinschaftsanlagenFlaeche/zweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestGemeinschaftsanlagen/xplan:allgemein
BP_GemeinbedarfsFlaeche/zweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestGemeinbedarf/xplan:allgemein
BP_NebenanlagenFlaeche/zweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestNebenanlagen/xplan:allgemein
BP_GruenFlaeche/zweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestGruen/xplan:allgemein
BP_LandwirtschaftsFlaeche/zweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestLandwirtschaft/xplan:allgemein
BP_Landwirtschaft/zweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestLandwirtschaft/xplan:allgemein
BP_SpielSportanlagenFlaeche/zweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestSpielSportanlage/xplan:allgemein
BP_WaldFlaeche/zweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestWald/xplan:allgemein
BP_VerEntsorgung/zweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestVerEntsorgung/xplan:allgemein
BP_VerkehrsflaecheBesondererZweckbestimmung/zweckbestimmung,xplan:artDerFestlegung/xplan:SO_KomplexeZweckbestStrassenverkehr/xplan:allgemein
BP_WasserwirtschaftsFlaeche/zweckbestimmung,artDerFestlegung
BP_GewaesserFlaeche/zweckbestimmung,xplan:artDerFestlegung/xplan:SO_KomplextFestlegungGewaesser/xplan:allgemein
FP_Gemeinbedarf/zweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestGemeinbedarf/xplan:allgemein
FP_Gewaesser/zweckbestimmung,xplan:artDerFestlegung/xplan:SO_KomplextFestlegungGewaesser/xplan:allgemein
FP_Landwirtschaft/zweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestLandwirtschaft/xplan:allgemein
FP_LandwirtschaftsFlaeche/zweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestLandwirtschaft/xplan:allgemein
FP_Strassenverkehr/zweckbestimmung,xplan:artDerFestlegung/xplan:SO_KomplexeZweckbestStrassenverkehr/xplan:allgemein
FP_SpielSportanlage/zweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestSpielSportanlage/xplan:allgemein
FP_WaldFlaeche/zweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestWald/xplan:allgemein
FP_Gruen/zweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestGruen/xplan:allgemein
FP_VerEntsorgung/zweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestVerEntsorgung/xplan:allgemein
FP_Wasserwirtschaft/zweckbestimmung,artDerFestlegung
BP_GemeinschaftsanlagenFlaeche/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestGemeinschaftsanlagen/xplan:detail
BP_GemeinbedarfsFlaeche/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestGemeinbedarf/xplan:detail
BP_NebenanlagenFlaeche/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestNebenanlagen/xplan:detail
BP_GruenFlaeche/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestGruen/xplan:detail
BP_LandwirtschaftsFlaeche/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestLandwirtschaft/xplan:detail
BP_Landwirtschaft/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestLandwirtschaft/xplan:detail
BP_SpielSportanlagenFlaeche/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestSpielSportanlage/xplan:detail
BP_WaldFlaeche/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestWald/xplan:detail
BP_VerEntsorgung/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:BP_KomplexeZweckbestVerEntsorgung/xplan:detail
BP_VerkehrsflaecheBesondererdetaillierteZweckbestimmung/detaillierteZweckbestimmung,xplan:artDerFestlegung/xplan:SO_KomplexeZweckbestStrassenverkehr/xplan:detail
BP_WasserwirtschaftsFlaeche/detaillierteZweckbestimmung,detailArtDerFestlegung
BP_GewaesserFlaeche/detaillierteZweckbestimmung,xplan:artDerFestlegung/xplan:SO_KomplextFestlegungGewaesser/xplan:detail
FP_Gemeinbedarf/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestGemeinbedarf/xplan:detail
FP_Gewaesser/detaillierteZweckbestimmung,xplan:artDerFestlegung/xplan:SO_KomplextFestlegungGewaesser/xplan:detail
FP_Landwirtschaft/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestLandwirtschaft/xplan:detail
FP_LandwirtschaftsFlaeche/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestLandwirtschaft/xplan:detail
FP_Strassenverkehr/detaillierteZweckbestimmung,xplan:artDerFestlegung/xplan:SO_KomplexeZweckbestStrassenverkehr/xplan:detail
FP_SpielSportanlage/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestSpielSportanlage/xplan:detail
FP_WaldFlaeche/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestWald/xplan:detail
FP_Gruen/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestGruen/xplan:detail
FP_VerEntsorgung/detaillierteZweckbestimmung,xplan:zweckbestimmung/xplan:FP_KomplexeZweckbestVerEntsorgung/xplan:detail
FP_Wasserwirtschaft/detaillierteZweckbestimmung,detailArtDerFestlegung
BP_BaugebietsTeilFlaeche/sondernutzung,xplan:sondernutzung/xplan:BP_KomplexeSondernutzung/xplan:allgemein
BP_BaugebietsTeilFlaeche/detaillierteSondernutzung,xplan:sondernutzung/xplan:BP_KomplexeSondernutzung/xplan:detail
FP_BebauungsFlaeche/sondernutzung,xplan:sondernutzung/xplan:FP_KomplexeSondernutzung/xplan:allgemein
FP_BebauungsFlaeche/detaillierteSondernutzung,xplan:sondernutzung/xplan:FP_KomplexeSondernutzung/xplan:detail